0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/css/main.css?after HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/css/header.css?after HTTP/1.1" 200 5335
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/jquery/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/jquery/stickysidebar.jquery.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/jquery/product.js HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/logo.png HTTP/1.1" 200 8747
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/search.png HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/person.png HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/heart.png HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/cart.png HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/main_slide1.png HTTP/1.1" 200 1150519
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/main_slide2.png HTTP/1.1" 200 856388
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/main_slide3.png HTTP/1.1" 200 906772
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/main_slide4.png HTTP/1.1" 200 711797
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=27&fileName= HTTP/1.1" 500 3210
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=25&fileName= HTTP/1.1" 500 3228
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=24&fileName=icon.png HTTP/1.1" 200 25206
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=21&fileName=snoopy.png HTTP/1.1" 200 107636
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=19&fileName=icon.png HTTP/1.1" 200 25206
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=18&fileName=pngwing.com.png HTTP/1.1" 200 270203
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=17&fileName=ddung.jpg HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/download.do?product_id=16&fileName=%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C.jpg HTTP/1.1" 200 58768
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/review-1.png HTTP/1.1" 200 88635
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:55 +0900] "GET /newgyms/resources/image/review-2.png HTTP/1.1" 200 106493
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/review-3.png HTTP/1.1" 200 100031
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/review-4.png HTTP/1.1" 200 103186
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/review-5.png HTTP/1.1" 200 81890
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/review-6.jpg HTTP/1.1" 200 232296
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/naver.png HTTP/1.1" 200 6155
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/kakao.png HTTP/1.1" 200 9162
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:19:56 +0900] "GET /newgyms/resources/image/facebook.png HTTP/1.1" 200 5896
